Question	Answer
Are you happy the work week is over?	I am so relieved
Do you want to try out some new restaurants?	that would be great
Did you read any of the best-sellers?	I just finished one.
Can you show proof of income?	I have my tax assessment.
Do you like the city so far?	the city is great
Do you have a specific job in mind?	I'm looking at programming jobs.
I'm so bored, wanna go have some fun?	Let's go dancing.
Do you like reading fictional?	I like fiction more than non-fiction.
Do you still play the piano?	I am very rusty.
Have you gone down to the river?	I was there back in May.
Have you been downtown yet?	I haven't seen downtown at all.
Did you visit any flats you're interested in yet?	I've seen a few small studios.
Do you work with kids?	That would be fun.
Do you like being out on the water?	I'm a landlubber.
You want to grab some coffee?	How about a rain check?
Do you want to meet some of my friends?	If they're like you, they must be fun.
Do you work near by?	I have a job at the corner store.
Is the neighborhood safe?	I don't think so.
Do you enjoy mowing the lawn?	I've always hated mowing.
Is the building a high-rise?	It's a brown stone.
Do you enjoy water sports?	I swim every morning.
Do you have far to travel to your place of work ?	It's a 10-minute bus ride.
Do you want to grab something to eat?	I'm always hungry
Do you have a favorite group?	The Rolling Stones are my all-time favorite band.
Are you trying to be more independent?	I would like to be so I can have better duties.
Have you had pizza recently	I had pizza last week
Are you employed full-time?	I work 5 days a week.
Have you travelled internationally?	I don;t even have a passport.
Did you come here by car?	I got an Uber.
Are we getting an end-of-year bonus?	I should hope so
Are you entering the christmas parade?	If I can get my nerve up.
How about a game of cards?	I don't want to.
Do you spend a lot of time in an office?	More time that I would like.
Is there anything special you wanted to see while you're here?	I made an itinerary.
Have you been feeling well?	My job has me a little depressed.
Do you have any formal musical training?	I wish!
Are you enjoying your time?	It's been wonderful.
Are you a college graduate?	I never went to college
Are you into classical composers?	I like rock better
Do you like Chinese rice?	Depends where it comes from.
Was your move job related?	I just got a job here.
Do you like to be active?	I work out twice a day.
Are you working the graveyard shift?	My hours are during the day.
Would you like to go to a book reading this weekend?	I like to support authors.
Have you lived in the building long?	We only moved in last week.
Have you grown tired of your work routine?	My routine has become a little tedious.
did you park in the parking garage?	I parked outside it
Are you glad the week is over?	I'm very pleased that it's Friday.
Do you have a dog	We have 2 dogs.
Is your job challenging enough for you?	It isn't too stimulating.
Are you planning on installing a pool?	I'm thinking about it.
Do you want to the movies?	If you are paying.
Do you like working with a large number of people?	I'd rather work alone.
How about trying some curry?	It depends on how spicy it is.
Do you like graphic novels?	They definitely make a story more interesting.
Are you thinking of going into the same field?	My job is already in the same field.
Have you read Harry Potter?	I've never read a Harry Potter book.
Do you still live in the same city?	I moved cities a few years back
Do you go skiing on the weekend at all?	Depends if there's decent snow on the ground.
Have you ever done karaoke?	I regret ever singing karaoke.
Have a nice house yet?	I'm still living with my parents.
Does going out for dinner tonight sound good to you?	Let's get Chinese food
Are you watching a movie this weekend?	I have a gig.
Have you done a book club before?	I've been part in a lot of book clubs.
Do you like getting a massage?	I have a package booked.
Would you like to exchange numbers?	I don't have my phone right now.
Want to go dancing tomorrow night?	My knee has me on the fritz.
Have you ever been to a live rock gig?	I love seeing bands live.
Would you like more benefits from your job?	More benefits would be great.
Do you enjoy your job?	I do right now
Are you into novels with a complicated plot?	They are too intense for me.
Do you enjoy your current job?	It makes me want to kill myself.
Are you a hiker?	I prefer trail-running over walking
How was your flight?	I've had worse flights.
Do you want to live in Manhattan?	That's my top choice.
Are you staying some days?	I'm here for a week.
Does your work keep you interested?	I'm loving my job at the moment.
Can you play the piano?	I took piano lessons years ago but have forgotten most of what I learned.
Did you sleep on your way here?	I had a little nap.
Did you start going to open houses?	I've been to a few.
Do you want to come over to my house on Sunday afternoon?	I'll bring the beer.
Do you want to meet up this weekend?	Only if I can bring my kids along.
Have you ever rafted the Ocoee?	I have never done that
Do you have a mortgage right now?	I might get one.
Have you lived in a flat before?	I have always lived in houses
You like spicy food?	I can't handle it.
Looking forward to a couple days off?	The weekend can't come soon enough.
Do you listen to the radio a lot?	I prefer podcasts.
Hey are you still living in Maryland?	I moved here last year.
Do you want to hang out?	That would be fun
Are you leaving tomorrow?	I'm sticking around for a few more days to take in the sights.
Have you ever bought a romance novel?	I've borrowed a few off a friend.
Did you dye your hair red?	It technically \\Auburn Sunset\\.
Are you a vegan?	I'm exploring it.
Do you like to dine-in or take-out?	Both options are good.
Will you be going to the big New Year's Eve party this year?	Only if you're going
Ever listen to rap?	I'm not a rap fan.
Do you go to outdoor concerts?	if the weather is good
You wanna hit a country-western bar tonight?	I have a date.
Would you be interested in history books?	Why not?
Can you take the bus?	I'll figure it out.
Any pets?	I would love a dog
Do you listen to music on the radio?	I no longer listen to the radio with Spotify around.
Do you know Roller balding?	I haven't heard of it
Do you play any instruments?	I never learned to play anything.
Did you go to university after school ?	I got my master's.
Were you able to sleep during the travel?	I had to drive the whole way.
When was the last time we saw each other?	I was 10.
Are you willing to use the telephone in your role ?	I prefer to be present at the farm rather than on the phone all the time.
Are you into dancing?	I square dance.
Do you still talk to our friend Katie?	I haven't talked to her in some time.
Do you like hiking?	Hiking is great exercise.
Do you like the same foods that you used to eat?	I still eat a lot of pizza.
Have you stayed in contact with any of our other friends?	You're the only person I haven't kept up with.
Do you like your job?	It depends on the day.
Do you prefer novellas?	I often read them.
What is the best park to visit?	You tell me
Do you like food trucks?	I think the health and safety aspect of these vehicles is a bit suspect.
Are you going to the gym?	I went earlier.
Do you play video games?	I'm a champ a Mortal Kombat.
Are you still in contact with the other neighbors?	We reach out to each other occasionally.
Do you like pop music?	We're seeing Lady GaGa in Las Vegas.
Have you played guitar?	I don't play anything.
Do you drink beer?	I prefer cider.
Do you like fried chicken?	I don't often eat fried chicken
Have you been to any concerts recently?	It's been years since I've seen a live performance.
Do you enjoy the summer weather?	I try not to leave the air conditioning at any cost.
Have you watched the x factor show	What's that?
Do you remember the last time we were in touch?	My memory is not as good as it used to be.
Do you get your books from the library?	I don't have room for many more and it's someplace I can get books that don't end up adding to the clutter.
Do you enjoy flying?	I enjoy it if I am in first class.
Is your job stressful?	It is worth the stress.
Are you okay to eat spicy food?	I have to watch what I eat.
Is your job a manual labor?	It's physically demanding.
Are going shopping?	we might as well
Do you have a spouse/significant other?	I am single right now.
Do you go to movies for the weekends?	I like to be outside since I'm in the office all day.
You like fantasy books?	It depends on the author.
Do you like alcohol or wine with dinner?	I like water when I eat
Are you looking forward to a fun weekend?	I don't have any plans.
Have you looked into moving companies?	I am looking for suggestions.
Do you go to music festivals?	I go to Lollapalooza every year.
Do you spend a lot of time filling in paper work?	I mostly work with spreadsheets actually.
Did you have a hard time getting here?	I got lost a couple of times.
Are you a heavy sleeper?	Any little noise wakes me up.
Do you still drink?	I keep sober.
Do you deal with people all the time?	most of the time
Were you born in this country?	I was born in New York.
Do you like going out to bars?	I try not to drink at weekends.
Have you ever been to Glastonbury?	I went once years ago
Do you have children	I have 6 kids.
Can I join you?	I'll let you know what our plans are.
Do you prefer to be active?	I consider myself to very active.
Did you ever get to learn to play the banjo like you wanted to when you were young ?	I never learned it sadly
Was the trip grueling?	I can't imagine a more difficult journey.
Will you have to do any renovations?	It's move in ready.
Isn't Lord of the Rings boring?	It's the best fantasy series I've ever read.
Can you afford the flat?	Only with my fiance's help.
Do you want to get together tomorrow?	If you want to run errands with me we can.
Do you like to grill out in the summer?	We are vegan.
Have you seen the newest releases on Netflix?	I didn't see any I thought I'd enjoy.
Want to go out on Saturday night for a meal ?	I have a basketball game.
Do you enjoy a quiet restaurant atmosphere?	It depends on the company.
Before we go any further I have to know, do you like lasagna?	Only if meat is involved.
Have you ever read Dean Koontz?	I have read many
Do you prefer to stay indoors during the weekend?	I like the open air.
Do you want to see the new Avengers film?	I'm not into Marvel films.
Do you enjoy outdoor sports?	I'm a keen soccer player.
Do you like sushi?	I can't stand it.
Do you play any instruments?	I play the piano.
Should we go downtown for dinner?	I'd like to stay in the neighborhood.
Have you read the fifty shades of grey?	I have no desire to.
Do you still listen to Lady Gaga?	Only her old stuff.
Can you afford it long term?	It shouldn't be a problem.
Will you be able to manage the payments?	I make more than enough money these days.
Did you get the pool key?	I am not much of a swimmer.
Are you a bit too into stories about post-apocalyptic wastelands?	I'm obsessed with those novels.
Are you into EDM?	My sister is, but me, not so much.
Do you know how expensive NYC is?	I'm prepared for the prices.
Can you eat any type of food?	I'm allergic to nuts.
How about a collection by various authors?	If it aligns with my interests I'll check it out.
Will you take the subway back?	The trains around here are really prompt.
You driving tonight?	Probably taking the train.
Are you single?	I've been married for years.
Are you looking for a building with an elevator?	If I find a flat in a building taller than 4 stories, I want an elevator.
Is it better than your old job?	It's better for what I'm looking for.
Can you afford the expensive rent?	I'm looking at smaller places with lower rent.
Are you a fan of animation movies?	My Disney collection is outstanding,
Have you tried Kayaking?	I haven't tried it yet
Do you like to go hiking?	I am afraid of ticks.
Are you a lover of food and drinks?	I live to eat.
Do you like rock and roll music?	It's good to listen to on headphones.
Have you heard of Alt J?	They are pretty lame.
Do you enjoy outdoor activities?	I hike every weekend.
Are you a fan of comic books	When they're not about superheroes.
Are you a fan of animation movies?	I love cartoons
Do you enjoy Italian cuisine?	Italian is my all time favorite
Do you sing along to the radio?	I sing along to the radio to help keep myself awake when I'm tired.
Do you enjoy horror?	I love to be scared by the pages in front of me.
You know when you starting your new job?	Probably next month.
Have you considered the cost of living?	It's significantly higher, but I don't mind.
Do you have any experience with customer relations?	I've never worked directly with customers.
Are you living here?	Always
Have you ate at McDonald's?	Not since I was little.
Are you lactose intolerant?	I have some Lactaid with me.
Do you want to listen to screamo?	that might be fun
Do you want to have dinner tonight?	After 8pm
Do you like fantasy stories based on history?	They're not my favorite.
Are you a fan of sports?	I go to basketball games as much as I can.
Can we buy a rock CD to listen to together?	If you like
Do you have any dietary restrictions/allergies?	I'm lactose intolerant.
Are you doing well?	I've just been made redundant.
Will your kids be going to the local school?	My children are homeschooled.
Want to extend this conversation over dinner tonight?	We can talk about it later.
Are you gluten intolerant?	It doesn't affect me.
Would you like to grab a coffee?	I am coffee, let's go.
Have you read the new Stephen King?	I hadn't heard there was one.
Have you ever tried a job outdoors?	I've always worked in an office.
Are you wanting to move into the capital?	I've been dreaming of it for years.
Good afternoon and welcome to the neighborhood, do you have any children?	We've never been blessed with any.
Do you have an interest in movies?	Comedies are good for a laugh.
Did you go to Glastonbury last year?	I was busy at that time last year.
Do you want a place close to home?	that would be better
When was the last time we saw each other?	it was years ago
Is a view important?	A good view can make a meal more enjoyable.
Want to try something creative?	I'd like to take a pottery class.
Are you married now?	We're getting married this year.
Have you researched the areas you are interested in?	I've done my homework and know where I want to live.
Will you need health insurance?	I'm on my husband's plan.
Are you leaving as well?	I'm on my way out right now.
Can we stay with you when we visit?	We'll try to have a spare room.
Would you like one in the city or a bit outside?	I need to live downtown.
Have you got a car?	I sold my car
Do you like working by yourself?	I prefer that to a group
Do you paint?	With watercolor.
Can you do latin dances?	I've always wanted to try.
Would you be willing to stay with the company if your position changed?	I might be
Have you gone down to the river?	I'm afraid of water.
Would you like more benefits from your job?	I need medical coverage soon.
Have you ever try Mexican food?	I'm always hungry for tacos.
Do you like modern literature?	It depends on the genre.
Have you lived there your whole life?	I lived there for a while
Would you like to come around for dinner?	We have plans tonight.
Are you an outdoorsy type?	More or less.
Do you like working in groups?	I work better alone.
Are your brothers and sisters nearby?	They live in Portland.
Can you wait for me to print this?	How about we meet at the bar?
Do you like live music?	I like going to concerts at the cafe.
Do you like self help books?	Only when they teach valuable life skills.
Did you used to live in my old neighborhood?	I moved only recently from there
Did you like the Harry Potter books?	Harry never caught my attention.
Do you like a lot of bass in your music?	I love when my car reverberates.
Will you be decorating for the holidays?	My decorations are already up.
Will you be able to stay for a week?	I may only stay for a few days.
Did you have a good week?	It was the best yet!
Are burgers ok?	I'm a vegetarian.
How about some pancakes?	I prefer waffles.
Are you into historical fiction?	If the book is set in Europe.
Can you share with me you favorite playlist?	I'll text you the link.
Do you have family in the area?	My family is scattered all over the US.
how was your day?	My day was very stressful.
Are you a fan of curry?	I don't really like it.
Do you want to be outside?	I like biking.
Do you have an food allergies?	not that I'm aware
Do you like soft music?	I was always a fan of quiet piano.
Do you enjoy haunted places?	I hate being scared.
Would you like to read a book that could make you cry?	Only if it's well written.
Do you have any kids?	Not yet
Have you read any bestsellers lately?	I'm currently reading the top bestseller at the moment.
Are you looking forward to the weekend?	This weekend has so much in store.
Do you like to play a instrument?	It's not fun for me anymore.
Can you shoot pool?	I love racking them up and breaking off.
Are you into hip hop?	Missy Elliot is the best.
Was your week okay?	It has been good so far
Do you listen to a lot of music?	I have an LP player in my living room.
Have you been healthy lately?	I haven't been sick in years.
Would you like to go to a book reading this weekend?	That sounds boring
Were you able to sleep during the travel?	I always have a nap
Will you have a longer commute if you switch?	It'll be shorter.
Are you thinking about moving to New York permanently ?	I hope I never have to leave.
Would you want to go to a steakhouse?	I don't eat steak
Have you tried different ethnic foods?	I stick with my same two foods.
What do you normally do in a days time?	I'm usually at work
Are you in a support position?	I would lead a team.
Do you paint?	I'm not a creative person at all.
Do you enjoy art?	I'm a snob when it comes to paintings.
Have you tried the new Thai restaurant at the Galleria?	I'm allergic to peanuts.
Do you prefer being indoors?	I have sensitive skin.
Do you have a gluten allergy?	I try to avoid gluten.
Do you get a little too excited about elves and wizards?	I have to admit, they make me sweat.
Do you like sandwich?	Sandwiches are tacky.
Are you married?	I'm single.
Have you decided if you are coming to the pub with us?	I think I'll sit this one out.
Have you ever been to a different country?	I've been to countries in Europe and Asia.
Have you seen that new movie?	I did and it was a good movie.
Do you have an interest in movies?	I like action comedies
Do you like being creative?	It's my favorite.
Do you like sci fi?	2001 was a great book and film.
Do you want to rest before we catch up?	I have tons of energy.
Are you looking to move to Manhattan?	Either that or Queens.
Are you into art and culture?	I'm happiest in a museum or at the symphony.
Do you like Italian food?	I love all things Italian.
Do you like the coffee here?	I don't drink caffeinated beverages.
Do you still like listening to blues?	I prefer jazz.
Have you had Indian food recently?	I think I had some curry the other day.
Did you meet any of the other neighbours?	I have met some of them
Do you want to head straight home?	I need to stop for a bottle of vodka.
Do you like your current job?	I'm overworked and bullied here.
Have you been to a live concert?	Live music is the best
Are you single?	I am right now
Is horseback riding something you enjoy during your leisure time?	I have never been on a horse before.
Are you looking to make more money?	A raise would be great, but better hours are most important.
Have you ever read the Harry Potter books?	I didn't enjoy them.
Have you tried the tex mex here?	We tried it on my last visit.
Is this a profession you want to stay in?	I'm looking around at other options.
Do you still live with your grandparents?	They moved to the Villages.
What is the best park to visit?	That cannot be answered easily.
Are you willing to do any contract work?	I would rather have an employee position.
Does the neighborhood have a good reputation?	I heard a mugging happened nearby.
Are you allergic to soy?	Only gluten
Is that big project you were working on done?	We are still slogging through.
Did you want to go out tonight?	Only if I get some rest first.
Do you like to read autobiography books?	I loved Nelson Mandela's.
Do you kids go to Vancouver schools?	I don't have kids yet
Are you well?	I am great
Do you have a high budget?	Due to loss of income I can't spend much.
Do you have a lift home?	I have my car.
Do you like going to movies?	I go to the cinema often.
Would you consider living in Brooklyn?	That's actually where the flat is!
Where do you stay now?	I have a place of my own nearby.
Do you think you might want to go camping this weekend?	I would say I might
Do you play any wind or string instruments?	I only play drums.
Are you in any weekend leisure sports teams?	I don't play any sports.
Does your mom still make those delicious chocolate chip cookies?	she certainly does
Do you like fictional books?	I am a dreamer.
Do you need a ride?	Not today thank you
Do you like to eat BBQ?	Ribs are my favorite food.
Is your job too stressful?	It can be challenging.
Do you want to go with me to brunch on Saturday?	I had planned on taking a walking tour.
Is budget a major consideration?	I have to be very careful with my money.
Did you finish putting everything away?	It's all taken care of.
Are you currently working here?	I work at the grocery store down the street.
Do you play the cello?	I've always wanted to.
Do you want to switch fields?	I want to stay in the same field.
Do you go to bookstores?	I like to go to bookstores
Are you parents still alive?	They are both healthy.
Do you like roller coasters?	I'm scared to ride them.
Are you a fan of Chinese food?	As long as it's not spicy.
Have you eaten a lot of seafood?	I used to eat more seafood when I lived near the ocean.
Is your job located there?	It is that is why I moved
Do you feel like having some dinner?	That would be nice
Do you have far to travel to your place of work ?	I only have a few miles to go
Would you like to go see live music?	Sounds like fun
Are you friends with all your neighbours?	It's a pretty unfriendly neighbourhood.
Do you like clubs?	I love dark spaces and loud music.
Do you have any kids?	I don't have any kids yet.
Did you enjoy the last Mediterranean restaurant we went to?	it was really nice
Will this be the first time for you living in NY?	I lived here twenty years ago.
Are you doing something fun this weekend?	I'm going to a dog's birthday party.
Do you have any plans?	We're getting a drink.
Would you like something hot?	Hot is good.
Want to go to Happy Hour?	I don't drink.
Is there a playground nearby?	I think there is
Do you want to go get drinks from the nearby bar?	Depends which bar you are taking about.
D you have plans for later?	My date just cancelled, so I'm free.
Did you figure out the commute times to work from different boroughs?	That's what Google maps is for.
Want to try my favorite restaurant ever?	I would love to
Does your job have decent hours?	The hours are irregular.
Does the job offer a better benefit package?	Possibly, I'd have to check with them.
Have you seen the new art exhibition that is in the town hall?	It was splendid.
Do you want to get dinner?	Sorry, I feel a little sick.
Do you like to watch movies?	As long as it has Sylvester Stallone in it.
Do you like sports?	Football, rugby, tennis and hockey are my favorite pastimes.
Want to try my favorite restaurant ever?	Only if you let me pay.
Would you eat Mediterranean food?	I'll try anything once.
Did you move here because of work?	that was one reason
Will you have better benefits at the new job?	I think so.
Looking forward to the weekend?	I've been waiting.
Are you financially stable?	I'm quite rich.
Have you seen the new school library?	It is so big.
Would you like to come eat with me and my friends at our table?	that would be nice
Does your colleagues not support your work style?	Depends on the colleague.
Will you have a longer commute if you switch?	I'll work from home.
Would you ever be willing to volunteer?	For the right organization.
Do you like music?	I only listen to jazz.
Do you enjoy arts & crafts?	I like to make things.
Do you like jazz music?	Classic jazz is pretty impressive.
Do you like to read horror books?	Horror is my favorite
Have you watched Disney movies?	I saw the Lion King remake.
Have you been well?	Better than expected!
Does the flat's price fit your long-term budget?	The flat fits into my budget very well.
Do you have a job lined up?	I will be job hunting.
Do you have any weekend plans?	I'm going to the cabin.
Did you live local before?	I've moved here from Europe.
Is your company private?	We trade on the stock exchange.
Do you want to make dinner at my house?	I don't cook much.
Have you ever heard merengue music?	I'm not sure what that is
Do you like suspense novels?	They're one of my favorites.
Did you end up going to college?	I got my PHD
Are you interested in sporting events?	I don't like watching sports much.
Do you like to dance?	I'm not very good.
Do you like live music?	Concerts are always fun.
Have you gone to college?	I graduated from Yale.
Hey are you seeing that new movie this weekend?	I want to  catch up on the latest films this weekend.
Do you want to go see a movie tonight?	I'd rather stay in and watch TV.
Do you like to run?	My knees are so worn out, I had to buy orthotics.
how was your day?	it was quite good
Do you want to go sightseeing?	I'll see anything you think is worthwhile.
Are you into hiking?	I'm not good at walking long distances.
Did you think Cinderella was entertaining?	That's not my cup of tea.
Do you want to try that new seafood place downtown?	If they serve shrimp.
Have you tried the Kahiti Golf course?	I've never heard of that.
Is your company private?	They are a public company.
Do you follow the local sports teams?	I'm more interested in pro teams.
Do you like jazz music?	I wouldn't say that I do
Do you get along with your colleagues?	It depends on who the colleagues are.
Are you committed to being in the city?	It would be nice living closer to work.
Do your parents still live in your old house?	I think a young family lives there now.
Want to have a BBQ this weekend?	I'm a vegan as of yesterday.
Are you a fan of foreign food?	Chinese is my favortie.
Do you travel any?	I don't go far.
Have you been living here for a long time?	only a few months
How about a collection by various authors?	I like those.
Are you into jazz?	When it a lot of saxophone.
Is your family well?	they are great
Did it take a while to get here?	My flight was delayed, so it took longer than expected.
Are your studies going well?	My professors are very interesting.
Do you like salads?	I try to have a lot of salad
Have you ever proposed to your crush?	I wouldn't dream of it.
Would you like to hike?	Only if it is not going to rain.
Do you like working the production line?	I don't mind it.
Do you have children	Seven.
Would you like Italian food?	Lasagna is my favorite food.
Are you a fan of foreign food?	I like a lot of ethnic foods.
Are you into sight-seeing?	I like museums.
Have you ever been here before?	Once, long ago.
Do you want to try something completely new?	I would love to
Is reggae your thing?	I only like some of it.
Are you comfortable with kids playing outside?	That depends on where exactly they will be playing.
Are you ever going back to school?	I may go back for a certificate.
Have you been looking for awhile?	I only just started.
Do you enjoy eating steaks?	I don't eat red meat.
Did you listen to the new Taylor Swift album?	I've never gotten into her.
Do you have to work your other job this weekend?	I'm hoping to do a bit of my other job.
Would like to read a fantasy novel?	That sounds too dorky for me.
Do you live far from here?	We are 20 minutes away.
Do you want to go out to dinner?	I'd like to try that new vegan place in town.
Hi neighbor, have you got any hobbies?	I enjoy gardening in my spare time.
Have you ever seen a live band play?	I took my nephews to a show last weekend.
Is being near public transportation a priority?	It would be helpful.
Do you like parks?	My dog and I go to the park often.
Have you been to a music festival this year?	I haven't managed to get tickets.
Are you adventurous?	sometimes I am
Do you have your kids this weekend?	My ex-husband has the kids this weekend.
Are you a fan of international cuisine?	Thai's great.
Want to extend this conversation over dinner tonight?	Let's keep it going.
Looking forward to the weekend?	You know it!
Do you like working with people?	I don't mind working with others.
Is New York your only option?	I really can't think of anywhere else.
Do you want to grab a drink?	that would be great
Do you like hip hop?	I hate Hip Hop.
Do you enjoy spending time with family on the weekend?	I'd rather be alone.
Do you do your job remotely?	I cannot work from home.
Do you like Italian cuisine over Mexican cuisine?	It depends on how authentic it is.
Do you have a favorite restaurant?	I've been to Canlis so many times but never get sick of it.
Are you quitting because of your boss?	My boss drives me crazy.
Are you working this weekend?	I got Sunday off but need to go in Saturday.
Do you listen to country music?	I hate country music
Have you gone to Coachella?	That doesn't seem interesting.
Have you kept in contact with anyone we used to know?	I married my childhood sweetheart.
Do you enjoy reading nonfiction?	I'm not interested in nonfiction.
Do you want to rent or buy?	I am open to both.
Do you like scary contents?	I usually avoid if I can
Would you like to talk about sports?	Ask me any baseball stat and I'll know it.
You said your price range was $3,000 a month, right?	Only if I can get that raise.
Do you like to be active?	When I have time
Have you played guitar for long?	I've been playing since I was a kid.
Want to extend this conversation over dinner tonight?	I would be happy to meet you.
Are you going out for drinks?	That is next week
Have you got an allergy to nuts?	I eat peanut butter straight from the jar and pecan pie whenever I can.
Are you happy to be switching jobs?	I'm really looking forward to it!
Do you like the Midtown area?	I prefer the Upper East Side.
Have you gone hiking around?	I try to go for a hike every weekend.
Have you brought enough luggage?	If I didn't, we can always go shopping.
Will you be in tomorrow?	I should be
Did you read The Pony of Midnight?	I've been watching movies all year.
Do you like murder mystery books?	I have an entire bookshelf of cozy mysteries.
Will I see you at the office party tomorrow?	I never miss a chance to have cake!
Do you watch a lot of romance movies?	I'm a sucker for a love story.
Did you like your new neighbors?	They're cool
Can you drink?	I'm able to have a drink.
Have you found a better job?	I'm just waiting for the job offer.
Are you a big fan of romance novels?	I prefer mystery.
Do you like novels based in World War 2?	I prefer happy stories.
Is it in the same industry?	I'm want to continue to do the same thing, but with a higher pay.
Do you have any pets?	We love our dog.
Shall we go shopping now?	I'm a little tired.
Have you been to a live concert?	I saw Taylor Swift in concert when I was 10.
Do you feel like going for a long walk tomorrow?	As long as it doesn't rain.
Do you enjoy long books?	I prefer short stories.
Do you go to music festivals?	I did a few years ago
Have you been eating alright?	I've been much healthier with my food choices since the beginning of the New Year.
Did you read The Pony of Midnight?	I did, it was great
Have you been to the 360 amphitheater?	I saw a show there last year.
Have you lived in the building long?	We moved in last spring.
Is the apartment big enough?	I'll have more space than I know what to do with.
Did you find my place OK?	It's kind of gross.
Do you program code?	I learned how to in college.
Do you go camping?	Only in the summer
Do you have to work tomorrow?	Unfortunately I do have work tomorrow
Does the flat have an entertaiment space?	There's a living room.
Is this going to be full-time?	I think it's 30 hours a week.
Have you found a job already?	I am still hunting.
Do you like going to gigs?	Live music is the best
Have you ever tried daal from Tarka?	I'm horribly allergic to lentils.
Have you been to warped tour?	Years ago I saw a lot of punk bands there.
Did you go to University?	I just got my PhD.
Is country music your favorite music?	My first choice is usually alt rock.
Can you sing?	Only in the shower.
Are you interested in educational books?	I would say not
Have you lived in the Pacific Northwest for a long time?	I grew up in this part of the country.
Are you a vegetarian?	I eat anything
Have you ever proposed to your crush?	We got engaged three months back.
Do you like rock and roll music?	More than anything.
Do you like to read non fiction?	I enjoyed Mandela's biography.
Is it nearby public transit?	it seems to be
Do you like arts and crafts?	I find crafting tedious.
You living alone?	I have two roommates.
Are you new to town?	I lived here when I was young.
Is your job a full time one?	They cut me back to part-time last year.
Do you need amenities like a gym?	It's not a necessity.
Do you eat fish?	I love salmon, mackerel and tilapia.
Have you seen a live band in concert?	So many times!
Are you going out Saturday night?	I think I'll watch Netflix and chill.
Would you like to check out some bars tonight?	I don't drink anymore.
Have you lived here long?	I moved here a year ago
Do you live nearby?	I'm about a 10-minute walk away.
Are you vegan/vegetarian?	I gave up meat years ago.
Is classical music your favorite?	I never listen to it.
Are you interested in sightseeing tomorrow?	I had planned on visiting my mother.
Do you like the same hobbies from when you were a kid?	I'm a very different person from when I was a kid.
Have you been to Lake Travis yet?	We're planning on visiting when it's warmer.
Are you a traveler?	I'm always looking to get away.
Can we catch up?	How about next week?
Do you have any dietary restrictions?	I don't eat dairy.
Are you a traveler?	I like to do one big trip a year.
Are you enjoying the neighborhood?	The neighbours are friendly.
Do you want to look through the museum?	Sounds good.
Do you want to try a new restaurant?	Let's go to the same old place again.
Do you like working with a large number of people?	Smaller teams are preferable.
Did you go to the last music festival?	That festival was a lot of fun!
Do you want to go out tonight?	I would like to
Do you like trying different cuisines?	I am open to anything.
Do you get along with everyone on this street?	I don't get along with the guy at the end of the block.
Do you like going to baseball games?	I try getting to a game at least a few times a season.
Do you like newer music?	I prefer classical stuff.
Do you like working by yourself?	I prefer working in a team
Are you coming to work tomorrow?	Not on a Saturday.
Are you going to be here tomorrow?	I have to finish up a few tasks in the morning.
Would you be interested in going to a bar?	I quit drinking years ago.
Is this going to be full-time?	It will be part-time.
Are you into gaming at all?	When I have a new game to try.
Have you learned how to play an instrument?	I had flute lessons for years as a kid.
Do you read mystery novels	I've never tried.
Is New York an affordable place to buy in?	It's very expensive.
Do you ever see any other of our old childhood friends?	I am in a band with Brad.
Are you gluten intolerant?	If I have even a little, I'll be sick for days.
Are you relieved it's Friday?	Friday couldn't get her soon enough.
Do you like local theater?	If they are performing a musical.
Would you like to come for dinner	Tell me what I can bring.
Are you fit and healthy?	I've been going to the gym every day.
Do you like going ice skating?	It's too cold for me.
Can you eat meat?	It doesn't agree with me.
Do you enjoy horror?	I prefer less gore.
Are you a vegetarian ?	I eat meat on the weekends.
Are you here visiting from out of town?	I'm from here.
Are you a fan of nonfiction?	Biographies are fascinating.
Do you have children	My kids are still babies.
Would you be interested in seeing a comedy show?	Laughing is good for the soul.
Have you eaten yet?	I hate to eat alone.
Did you listen to the new Taylor Swift album?	I haven't heard it.
Are you looking for work in the same field?	I want to get into a different field.
Do you work nearby?	My job is across the street.
Do you like rock and roll music?	I never really got hooked on any rock.
Do you like pie?	I like anything with a crust.
Do you need a ride?	I'd like that.
Do you have energy to go out tonight?	As long as we stay away from clubs.
Do you like going to the library?	Just to study
Do you enjoy drum solos?	I prefer drums to have accompaniment.
Would you like to keep doing the same thing?	I'm open to switching it up.
Are you an animal lover?	I have two dogs and two cats.
Is it true you got married last year?	Married Jen last year at the lake.
Are you a fan of mountain climbing?	When the conditions are right.
Do you want a ride home?	that would be great
Do you work alone?	A hundred people are in my office with me.
Do you have a Spotify account?	I don't know what I would do without it.
Do you want to switch fields?	I'm not sure yet
Hey there buddy good to meet you, is it just you that's moved in or are you married?	It is just me for now
Have you checked the crime rate in that area?	I've been researching that.
Have you seen that new movie?	I'm going this weekend.
Do you have a job you enjoy?	I hate my job at the moment.
Are you employed full-time?	I work full-time at the fire station.
Have you hiked any of the local trails?	I've only hiked on the west coast.
Does your family like skiing?	They adore it.
Do you make any music?	I am music.
Have you seen the new Netflix series?	Not yet I haven't
Did you get outside and enjoy the sunny weather last weekend?	I wanted to, but I was working.
Do you still live in the area?	I live in Portland now.
Is there any genre that you hate?	I like all genres as long as they are well written.
Are you willing to visit a museum with me?	Let's do it.
